2010 2020 2030 2040 2050 2060 2070 2080 2090 2100 2110 2120 2130 2140 2150 2160 2170 2180 2190 2200
-56.4918599952391 -87.4774936876153 -93.3257106735136 -95.0488935174461 -91.1074692820822 -35.7638161109931 29.8713488144767 92.4236302381345 180.286500717942 300.716164304067 547.29214521144 808.775313235396 1152.37887639921 1572.31406891938 2073.77639782071 2634.71267155243 3253.333086578 3864.77465831758 4435.72367195075 4983.32721859274
-31.6994716709894 -39.7213117128123 -30.2599524881281 -14.8137178436119 12.6781923894989 74.6242229717223 154.274976501111 251.127651270989 367.409790994244 501.742355656776 727.269268755948 1006.35214661318 1369.30705224855 1820.69263501665 2361.25932078039 2965.01315172317 3621.62626206205 4251.89428354424 4845.52201470374 5425.41619903495
-27.3216058928614 -32.4182001436215 -20.67452477911 -1.72010573765407 29.9241493920429 93.1796573648688 178.023617233317 281.450842641844 406.431973599666 549.47913092174 767.743890685802 1061.42403871181 1433.38212529765 1892.99685889433 2439.34181060307 3056.80498723729 3718.50094044362 4355.35232883536 4949.79561219439 5546.365880359
-24.4113956257669 -27.7845481549133 -14.8032149973412 6.36156383974533 43.4841223628208 109.421737492613 194.716371686264 302.672834104567 433.152690944581 582.024140998194 801.829203572288 1099.57478040738 1476.4900938055 1937.89727253247 2494.94216586503 3120.26549978895 3792.63133338881 4430.43095895973 5024.89573129549 5628.90106330448
-22.248677196484 -24.0808080099025 -9.96817516763517 12.7497180037296 51.0031945921658 119.997764163733 209.568659183463 318.673362013524 449.620792851101 609.479498313546 823.003455160303 1126.2122401223 1507.77084134321 1976.03911666929 2536.18724749142 3168.25863140891 3838.9686340483 4481.93565398865 5086.7630281644 5695.85328968541
-20.4553085190847 -21.2566816648008 -6.43611974103664 18.6382929788586 59.0036110499307 129.320071362459 220.053951745409 332.24850393648 469.929949114412 630.320052332498 841.42979491566 1151.11296827632 1539.45078255786 2009.30469163092 2575.76242729369 3221.79877438635 3894.1314145507 4539.22829435368 5143.16411629788 5755.7837268985
-18.7437472174679 -18.0776054439916 -2.77436937356551 23.0595454529947 65.8204100804616 138.487417548286 229.094342851485 345.870204110608 485.34970120721 649.247285571702 859.963511587445 1177.941222918 1574.2089314174 2051.65407438861 2623.32653731235 3268.65131544197 3948.06337998131 4586.14638949314 5196.67254499115 5813.47623138471
-17.3467489667032 -16.0753118386969 -0.405161163582203 27.0136600547411 71.8141885683296 145.446942909592 238.118974479812 355.444654988014 497.263030254453 663.350097081398 878.637208824433 1199.3542414627 1608.95750032676 2096.06954907186 2674.12943911119 3326.51498270254 3997.03227578457 4640.70108834974 5250.24815254867 5867.07917166408
-16.1022367006207 -14.0068459938901 2.18580713922899 30.215373078953 76.4651480612694 151.569184013135 245.720917985795 364.979083967594 510.034894626776 679.737026505879 892.628022161021 1222.37334780638 1637.80037618321 2132.80303173574 2724.71257012314 3381.48670699114 4053.61967565257 4687.73905641934 5300.73308345046 5930.20740268317
-15.0829778606327 -12.2390428062652 4.54372298747811 33.9971132115685 81.2881183273438 156.853582587322 253.946801432634 374.276936125888 522.208625661683 693.428127673197 906.642909754386 1241.79430122844 1665.14284816893 2170.374972741 2767.7821685263 3428.8119681905 4098.26560343318 4740.84844066423 5355.30313452683 5984.76092528325
-14.0791275299956 -10.8361533684429 6.70165943392968 36.8522053990247 85.8975766703068 161.898425696364 259.826614095779 384.189882337875 531.646216491072 706.602643980917 920.555293591816 1258.11165287587 1691.6835593504 2207.05283683991 2807.88074237801 3475.22546030073 4147.29394266617 4787.38569893875 5403.888110869 6034.49866329327
-13.1599575124355 -9.50224392893358 8.83314171597962 39.338671055958 90.2736476412986 167.442593245498 266.684611543988 393.14342277755 542.769192905489 718.948450773128 934.041370369567 1273.20138387742 1712.8684086408 2235.30876302519 2848.91910969882 3518.77222513484 4189.21067065613 4822.87885568435 5439.68040862339 6072.96853043941
-12.2808916090314 -8.11858246049003 10.6316249523804 42.1282817219617 94.2092915799279 171.779966745197 273.491431934157 399.237780838771 552.144086858449 731.878817679776 945.300731564732 1291.79630249665 1735.10997768042 2264.95344083072 2884.24005148039 3561.9236538477 4225.29549120509 4853.30683191125 5469.68549202344 6104.06059037321
-11.3846674230191 -6.81362025385234 12.2171153836389 44.7123981455977 97.4255797748371 176.828847901856 279.742849571301 405.87930331459 561.189401302733 743.696172390134 955.924766106319 1305.77724994069 1754.25415651516 2291.68551542578 2920.62856833848 3595.2921036807 4258.79272991059 4887.35472006793 5508.70814643975 6147.73083577924
-10.7065890736723 -5.48735285352457 13.6623752893288 46.7120243844439 100.781156793454 181.492770234227 284.904411638332 413.595946081564 569.819444410603 755.161584446034 968.172637688359 1321.10524047914 1774.3308715428 2322.88689073113 2955.39814266188 3632.39345170596 4285.81354933162 4917.82230491672 5541.69430985123 6186.42216703661
-10.089622479291 -4.15922976901652 15.1364393374421 48.4084048066357 103.433771848485 185.622060137282 290.511294118391 420.963435592105 577.314542126652 765.957350963972 979.010421858877 1335.21786543369 1797.3459384285 2345.54079779166 2984.98536195386 3661.94313595472 4320.14148662143 4950.24406756194 5577.58540879769 6223.24205428428
-9.42902566918187 -2.99441879130655 16.6006261954442 50.5974983113245 105.776339302962 189.652584665487 295.690648423734 427.573548005675 585.619629059257 775.044602473729 987.282013432632 1347.40523494149 1814.91408403034 2365.18476402154 3009.47457461973 3691.63829774186 4350.11107353519 4978.35086685185 5606.93004739122 6249.72554137425
-8.65297948791774 -1.65010267726291 18.1159294200564 52.9127176986264 109.283692000758 193.505317794364 300.598126280998 434.125688408222 594.826777641515 785.297352583814 996.609504966876 1359.87045785316 1829.95249429141 2388.60723949476 3034.08139141536 3717.54294321891 4376.56685329394 5004.92184256422 5633.11005785466 6281.96146040294
-7.91818708827887 -0.48804733403091 19.5447289309568 54.9758987827136 112.276075182032 197.534145333625 306.063736868712 440.620733543723 602.035174768943 795.897825819561 1007.17890226635 1372.00428208122 1847.55462050828 2408.79977373756 3055.13299331372 3746.4241897703 4403.03611047996 5036.34331887098 5666.94184765346 6317.11476999644
-7.17784087287224 0.398495178939936 20.7471753199276 56.7386586036926 115.522962725099 202.034894508746 310.51844075813 446.241786225628 609.845047780484 806.643538939668 1016.49200073699 1384.43219444304 1865.3886670294 2429.67401973336 3078.77131570732 3771.70011118873 4431.69374661067 5061.34626439098 5695.80805520849 6348.69140173394
-6.48554295748291 1.27361972816138 22.0392761162156 58.4212839646904 118.193104004354 205.765512370525 314.812608449843 453.275704987342 616.889397267631 817.092884309003 1024.92486215749 1395.84086499661 1879.2374701084 2444.72993729697 3098.26312108453 3795.73236180306 4455.32728493964 5086.92855445881 5724.96355240191 6374.66804142171
-5.88343129599227 2.23108849647747 23.384076568555 60.2677949225162 120.9130668358 209.379700880889 320.052530933358 458.748976654632 626.389885986773 825.92537418277 1033.42923382822 1406.93220501845 1891.83102419692 2461.70024809483 3118.48460301484 3818.54552286537 4481.54519582463 5110.94289061945 5747.3129813444 6404.04703428806
-5.24953262824235 3.32358336677063 24.3424703983688 61.7497841250813 123.461472080874 212.832515617679 325.046885845525 464.392960742683 633.362119587856 834.511213833012 1041.84663033766 1416.23213431053 1904.03958416775 2477.52600367768 3134.61363971083 3839.81188330744 4504.43548429734 5134.24067665391 5772.20112520732 6428.01200881272
-4.71640356151508 4.16843520806951 25.5416444670719 63.6478346730815 125.992599618167 216.344378245089 329.861145102982 469.77645942997 640.143017491999 846.398295410239 1051.25874147195 1426.97360442213 1916.08831468707 2492.73466311339 3153.3373440683 3858.64517752166 4527.24050592041 5158.59370964696 5796.07152941524 6455.1437377539
-4.21899561323359 5.13280205218195 26.7015607051108 65.0194893985247 128.166390326965 219.278907721055 333.814156060576 475.678662891603 647.430885595387 855.863960402701 1061.29245851719 1439.49088507058 1928.34121674921 2506.51871275822 3168.20011042281 3878.8450517796 4545.47882688186 5178.39034930789 5821.5682612664 6486.25200003555
-3.72095965359867 6.03803865719632 27.8011739741157 66.4773071297715 130.561345000027 222.665271008416 338.647600898173 481.774869382421 654.768174329578 865.25089366107 1070.4110232015 1451.12876511845 1940.0771051039 2520.43557987642 3184.05094212479 3896.01209491782 4568.24339569209 5206.29166608263 5848.82620338734 6512.02671968446
-3.25463593690156 6.91160671770506 28.934317168744 68.0106358518075 132.924486880878 226.570892865063 343.077223918376 488.549360971595 662.42565295651 874.691022548049 1079.47927590176 1464.05905486687 1956.5862209451 2535.74292888202 3200.80980024176 3913.00690798376 4588.94087758349 5229.11814669763 5871.4339460845 6537.18900435049
-2.81859388944683 7.65871797774171 30.017846557422 69.6676486914855 135.082976847371 229.891500363363 347.393813829458 494.957033319916 671.469234694161 884.311557737545 1088.97349670548 1474.41210373265 1968.45386286176 2550.13484900146 3216.84698988187 3932.61857657161 4609.79455501895 5249.98496058838 5896.31913192555 6563.49301389428
-2.34039468930165 8.65237072033926 31.1025236959382 71.2641773527517 137.598335006163 233.03466057105 351.892351438648 502.124396434666 679.953349732865 894.675654780425 1099.4482315887 1485.04324648024 1982.91030854396 2568.32139715545 3235.59616128112 3954.18253648763 4627.36631880398 5272.5607737849 5917.72929907616 6590.73651776981
-1.79598523106162 9.50869325892817 32.1553420606664 72.6837715130148 140.377326082759 236.407096555732 356.677329264941 508.561297567709 687.896078255135 905.008329282118 1108.16047709785 1496.1161773378 1994.81855674163 2582.18306048235 3252.59251296718 3974.02056061826 4651.08196925937 5294.56029255281 5943.02091170215 6616.27545690044
-1.30045826031047 10.4005419697366 32.9494775296694 74.1889309075883 142.847612687543 239.650752813844 362.034458172518 514.847556238466 695.393388131944 914.115538457453 1117.64286583966 1506.88212934258 2009.95702351805 2597.52538570557 3270.90727757389 3995.23387394867 4674.81500342382 5319.90229425998 5972.14815868832 6647.03110590581
-0.73523795126909 11.184575855462 34.0008395898453 75.5956227553884 145.04239470774 243.334435912435 367.525701051425 521.070087537385 703.195799468845 924.939248599046 1128.58438855841 1518.82266736792 2021.36965084841 2615.69352019567 3288.59623215262 4016.80239482786 4697.71716770394 5344.50121696964 5998.82726802642 6678.13885892675
-0.235888154636743 12.0131271786979 35.2356398877785 77.1635598943647 147.440648283554 246.281510883588 372.985217026174 527.532890958764 712.83775912641 935.716477207553 1138.47113469675 1531.6426773952 2036.49828970334 2629.52975349511 3308.64588724658 4038.6171367103 4719.94219903628 5370.63719910282 6029.27640814163 6715.52636694496
