"2010" "2020" "2030" "2040" "2050" "2060" "2070" "2080" "2090" "2100" "2110" "2120" "2130" "2140" "2150" "2160" "2170" "2180" "2190" "2200"
-46.1694423521518 -86.2756091143493 -112.669913856287 -125.185354419492 -141.123405412921 -129.738539215879 -106.109206059889 -73.9013586266117 -52.2602204687382 -55.9932483601023 1.93391985192724 16.5302330933801 22.315690723403 35.975020229194 65.7317572636343 71.1737128504144 71.7943389062733 82.80867098597 114.629575884025 132.028279905268
-24.586477187106 -42.4316305122837 -42.8362597821737 -33.5040449241621 -23.4413543477667 2.02287178446912 37.5515652468514 83.9363970509951 127.147906871969 149.386039459252 227.204531556854 272.529907819978 317.893076798354 365.163062707765 416.39000665959 459.743390580366 498.323900275411 540.646411301555 589.028106585632 633.366968166027
-20.9717648403685 -33.9224270920426 -32.2081433681152 -18.9198365832649 -2.97207296836916 25.5278782796607 61.8887139944979 109.899027822168 160.625470786138 191.995467944486 271.030852253177 318.2767804222 367.52533825653 420.857644127088 480.279330251906 526.68068078333 572.138052791553 623.30012128491 675.697050317578 728.080206788117
-18.1513784762064 -29.4846196355666 -25.2174651169037 -10.5709077841568 9.28843725341199 40.9220953824284 80.7394092096011 131.40992324236 183.978981419862 215.461585527111 299.101294074142 351.744315441909 403.644818573695 460.982267947261 520.75114259607 572.609907036615 625.808273487204 681.614123986708 740.858980712879 798.953678238828
-16.3929327736835 -25.3265843814462 -19.5820225508063 -3.07776980934592 20.6017812327814 54.1209121174253 97.9027098079548 149.464400226833 202.889063145383 239.627333255993 323.432148161131 377.017162722483 432.330498468297 490.368797480509 552.35892312442 608.42007719478 664.686342293644 728.793237193596 785.040025857796 843.201341039126
-14.7920159396649 -22.2001545096556 -15.5384955940748 2.68878871175198 27.8672933971474 63.6987989249008 108.65775235193 161.493450916241 216.86439158926 259.463515039768 339.860888479269 395.840874675407 455.972306285291 517.476699787814 585.035724201952 644.274447833979 702.910884112586 763.931546537923 826.829342862169 890.144797307817
-13.5886402078029 -19.3111978929054 -11.6743913174893 7.888464685057 34.5587205161455 72.6925098948797 119.174138079978 173.926633027305 228.993644592062 273.069101499966 354.926711273013 413.941188637125 476.897776825747 540.077396187229 606.117954980663 668.519650659898 730.671912308362 795.93149836587 864.055103686711 928.851888520129
-12.404483686109 -17.4150257519607 -8.21173128383884 12.4495831153816 40.6163203344522 79.7902117563245 127.628676153885 185.166121412565 241.23703848711 288.668654455132 371.571434778078 430.582301438255 493.359126076419 558.960476358164 626.291483947513 687.204716401105 751.416485934824 821.85961198885 890.890437408151 960.270434088731
-11.4040587182109 -15.5871601998527 -5.01642429208864 15.8552406523801 45.7637341840925 86.6333657758881 135.359301320442 194.794840530469 252.982811116378 300.172875716547 385.025515422408 446.675598121579 508.726169889201 574.231239261493 644.422242541812 711.995932337393 778.381753383794 847.472877220427 918.184409594474 989.558932446687
-10.516048025473 -13.8495309626936 -2.5242753842852 19.2783011440876 50.2675659664754 92.3758348573905 143.501268425292 202.692494089393 261.973775252409 311.230745018947 396.673325918431 458.808857132177 523.296179923912 591.163293884581 662.193912893555 727.711029964821 798.241027140947 869.091908465944 944.069704763542 1015.30657943325
-9.64785731645205 -12.1783778013086 -0.0170211012929759 22.5004629619419 54.9231815803418 97.2829155461344 150.478051058692 210.072747638397 271.262684299368 322.861127152356 407.250561556833 471.023625671365 536.87526789203 605.996934035036 676.616602160776 746.631794430228 817.509884431739 890.90249571988 967.891248351971 1041.17563591828
-8.91998359767677 -10.3910301317079 2.08426362797726 25.0443951536694 58.3161879785096 102.523226470703 156.675655446065 217.414834322931 280.380801371897 331.748765858043 419.083440405223 485.741311865206 550.51835460602 619.288795152088 692.965062656631 765.050169263649 838.031646590807 910.159483595112 989.844769929685 1066.63530612226
-8.17408316022154 -8.8502351650361 3.86744565529266 28.0346370284884 62.569562660727 107.178014048431 162.32267731019 223.488548116108 288.019570911518 342.214546532564 428.579151630973 496.432119093509 566.054635515156 636.70076382357 706.960678850218 780.855201471569 855.461826433155 931.892004705973 1011.38479362332 1088.50730174716
-7.51974364059921 -7.44795220379898 5.86229765067099 30.722835444543 65.7387375908424 111.741209643567 167.250647198436 229.794344437928 294.166930173329 351.54374967629 438.762549676724 506.809917433756 577.834031592261 650.808103493481 723.659365878059 797.237448845106 871.514981088519 948.635451112212 1028.28182838083 1107.83026235851
